Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None	resstock_probability
<1940	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009533
1950s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005304
1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004382
1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004182
1980s	Crawl	Single-Family Detached	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.002396
1990s	Crawl	Single-Family Detached	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.002229
2000s	Crawl	Single-Family Detached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.002551
<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001239
1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000689
1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000569
1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000543
1980s	Crawl	Single-Family Attached	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.000311
1990s	Crawl	Single-Family Attached	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.000290
2000s	Crawl	Single-Family Attached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000332
<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000163
1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000091
1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000075
1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000071
1980s	Crawl	Mobile Home	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.000041
1990s	Crawl	Mobile Home	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.000038
2000s	Crawl	Mobile Home	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000044
<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007412
1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004124
1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003407
1970s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003251
1980s	Crawl	Multi-Family with 5+ Units	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.001863
1990s	Crawl	Multi-Family with 5+ Units	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.001733
2000s	Crawl	Multi-Family with 5+ Units	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.001984
<1940	Crawl	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004382
1950s	Crawl	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002438
1960s	Crawl	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002014
1970s	Crawl	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001922
1980s	Crawl	Multi-Family with 2 - 4 Units	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.001101
1990s	Crawl	Multi-Family with 2 - 4 Units	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.001025
2000s	Crawl	Multi-Family with 2 - 4 Units	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.001173
1940s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002574
1940s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000335
1940s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000044
1940s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002002
1940s	Crawl	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001183
2010s	Crawl	Single-Family Detached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000402
2010s	Crawl	Single-Family Attached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000052
2010s	Crawl	Mobile Home	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000007
2010s	Crawl	Multi-Family with 5+ Units	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000313
