Dependency=Geometry Building Type RECS	Option=East	Option=West	Option=Northeast	Option=Southwest	Option=North	Option=South	Option=Northwest	Option=Southeast	resstock_probability
Mobile Home	0.237931	0.237931	0.010345	0.010345	0.237931	0.237931	0.013793000000000001	0.013793000000000001	0.007163380078505081
Single-Family Detached	0.237931	0.237931	0.010345	0.010345	0.237931	0.237931	0.013793000000000001	0.013793000000000001	0.41942293733636105
Single-Family Attached	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.05450717714216356
Multi-Family with 2 - 4 Units	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.192800812437454
Multi-Family with 5+ Units	0.165906	0.165906	0.07220499999999999	0.07220499999999999	0.18484	0.18484	0.077049	0.077049	0.3261025668640632
