Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	sample_count	sample_weight	resstock_probability
Central AC	Cooling Only	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	20096.339844	0.0004385983380014201
Central AC	Heating Only	1940s	0.0	0.45989399999999997	0.45148699999999997	0.088619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	25052.050781	0.00019903397201620864
Central AC	Heating and Cooling	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	19471.539062	0.0018147598956422411
Central AC	None	1940s	0.022602	0.16959100000000002	0.556733	0.25107399999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	1762113.875	0.02864530759882197
Heat Pump	Cooling Only	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.821587441868737e-05
Heat Pump	Heating Only	1940s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5188707878422304e-05
Heat Pump	Heating and Cooling	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	7872.640137	0.00018818082726433806
Heat Pump	None	1940s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	321422.1875	0.003935820055663788
None	Cooling Only	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1940s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	206980.046875	0.003509171162827789
None	Heating and Cooling	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1940s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	110.0	967848.375	0.011443152618914097
Room AC	Cooling Only	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.045763	0.108175	0.5569649999999999	0.289097	0.0	44.0	452738.5	0.010470822379060047
Room AC	Heating and Cooling	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1940s	0.0	0.0	0.0	0.0	0.0	0.0	0.035809	0.198325	0.481134	0.28473200000000004	0.0	147.0	1372821.0	0.01599584262499164
Central AC	Cooling Only	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	12811.240234	0.00026344505463331665
Central AC	Heating Only	1950s	0.064639	0.22967800000000002	0.45875	0.24693299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	31062.919922000005	0.0010908490263672524
Central AC	Heating and Cooling	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	70527.140625	0.00488800596585041
Central AC	None	1950s	0.027520999999999997	0.18296800000000002	0.538579	0.250931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	621.0	5644812.5	0.05891378017929203
Heat Pump	Cooling Only	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.783716842718436e-06
Heat Pump	Heating Only	1950s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.233065771126415e-05
Heat Pump	Heating and Cooling	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	33404.761719	0.0005771786047080944
Heat Pump	None	1950s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	668526.8125	0.0032744862706098597
None	Cooling Only	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1950s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	20.0	213468.9375	0.00812896479668532
None	Heating and Cooling	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1950s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	291.0	2624763.75	0.02778541022289802
Room AC	Cooling Only	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.055889999999999995	0.196339	0.48353500000000005	0.264236	0.0	65.0	688916.75	0.013790123770035244
Room AC	Heating and Cooling	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.052641999999999994	0.217376	0.461714	0.268268	0.0	357.0	3462520.25	0.03930059930630184
Central AC	Cooling Only	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	106338.859375	0.0016912797941738365
Central AC	Heating Only	1960s	0.098175	0.348837	0.37399499999999997	0.178993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	82340.992188	0.0014685692965550267
Central AC	Heating and Cooling	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0	210282.96875	0.004003778516538021
Central AC	None	1960s	0.025657999999999997	0.148001	0.558974	0.267367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	628.0	5749636.5	0.055098779155897226
Heat Pump	Cooling Only	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	14264.790038999998	0.00010803286544383868
Heat Pump	Heating Only	1960s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6565.870117	0.00011234794999565988
Heat Pump	Heating and Cooling	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	22690.800781	0.00022807928337323884
Heat Pump	None	1960s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	993174.1875	0.0036039066461671628
None	Cooling Only	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1960s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	35.0	348835.0625	0.0070412067936724155
None	Heating and Cooling	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1960s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	268.0	2411522.5	0.021421667450685185
Room AC	Cooling Only	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.044275	0.242819	0.420213	0.292693	0.0	77.0	790989.9375	0.009528125343469888
Room AC	Heating and Cooling	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.067213	0.232487	0.463405	0.236894	0.0	256.0	2453066.75	0.02628358994808868
Central AC	Cooling Only	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0	118384.703125	0.0011026389041260915
Central AC	Heating Only	1970s	0.0	0.0	0.6508149999999999	0.34918499999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	107021.671875	0.0008853241864280068
Central AC	Heating and Cooling	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	24.0	278156.46875	0.0030574751272579807
Central AC	None	1970s	0.040925	0.201825	0.514008	0.243243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	991.0	8918134.0	0.06136437609571454
Heat Pump	Cooling Only	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	17027.570312	0.000142566436623169
Heat Pump	Heating Only	1970s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6297.040039	0.00012899298021728942
Heat Pump	Heating and Cooling	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	39034.601562	0.0003984110512513629
Heat Pump	None	1970s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	1939914.125	0.005128376117451585
None	Cooling Only	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1970s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	34.0	269516.34375	0.003962324010693883
None	Heating and Cooling	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1970s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	327.0	2766127.25	0.01800336168414938
Room AC	Cooling Only	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.052251	0.127425	0.525751	0.29457300000000003	0.0	71.0	645168.875	0.00592309195553998
Room AC	Heating and Cooling	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.07197100000000001	0.20496999999999999	0.46516499999999994	0.257894	0.0	308.0	2891597.75	0.024536772938436934
Central AC	Cooling Only	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	76819.132812	0.00047719894913264685
Central AC	Heating Only	1980s	0.011058	0.039293	0.6326609999999999	0.31698699999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	123182.35156199998	0.0008092911913840726
Central AC	Heating and Cooling	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	20.0	187200.359375	0.00140846285742948
Central AC	None	1980s	0.055461	0.22779899999999997	0.486451	0.230289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	959.0	8574526.0	0.03688946681944093
Heat Pump	Cooling Only	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	6443.75	4.219066154808537e-05
Heat Pump	Heating Only	1980s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12816.849609	6.587762726905925e-05
Heat Pump	Heating and Cooling	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	22216.589844	0.00012354217228944302
Heat Pump	None	1980s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	2419850.5	0.004056349685631608
None	Cooling Only	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1980s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	22.0	184570.640625	0.0017266026102412068
None	Heating and Cooling	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1980s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	258.0	2538671.75	0.011626745681313569
Room AC	Cooling Only	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.059226	0.248955	0.403104	0.288715	0.0	45.0	366406.28125	0.00196952378584872
Room AC	Heating and Cooling	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.080785	0.18773900000000002	0.46101000000000003	0.270466	0.0	218.0	2294790.75	0.01221350716083118
Central AC	Cooling Only	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	72776.140625	0.000537305978029784
Central AC	Heating Only	1990s	0.0	0.099199	0.623818	0.276983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	89481.140625	0.0007031034492603477
Central AC	Heating and Cooling	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	129767.640625	0.000999229130267796
Central AC	None	1990s	0.00352	0.145445	0.600541	0.250494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1042.0	9947357.0	0.04511263499453664
Heat Pump	Cooling Only	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	31624.480469	4.619553720127599e-05
Heat Pump	Heating Only	1990s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	23212.109375	6.632825926802783e-05
Heat Pump	Heating and Cooling	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	8.035565643556825e-05
Heat Pump	None	1990s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	2937023.0	0.004694135965398513
None	Cooling Only	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	1990s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	104377.859375	0.0009791452666533052
None	Heating and Cooling	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	1990s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	159.0	1459275.0	0.006628503527090722
Room AC	Cooling Only	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.004704	0.286839	0.387035	0.321422	0.0	17.0	164420.125	0.0008848055293451307
Room AC	Heating and Cooling	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.012253	0.23434000000000002	0.46945	0.283958	0.0	127.0	1297954.125	0.0057024244182955625
Central AC	Cooling Only	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	11541.304688	0.0004701221527930921
Central AC	Heating Only	2000s	0.0	0.0	0.622115	0.37788499999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	19762.224609	0.0005005416533182664
Central AC	Heating and Cooling	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	41725.78125	0.0005922144935816491
Central AC	None	2000s	0.0	0.0	0.6276390000000001	0.372361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1113.0	5086476.5	0.05034630126195975
Heat Pump	Cooling Only	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	41233.539062	0.00010890150504982835
Heat Pump	Heating Only	2000s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	27981.810547000005	0.00011776921540103576
Heat Pump	Heating and Cooling	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	9676.905273	0.00013980986225806602
Heat Pump	None	2000s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	1526881.75	0.012165154998087962
None	Cooling Only	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	2000s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	30769.425781	0.0010994564657766266
None	Heating and Cooling	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	2000s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	108.0	497008.15625	0.005186510317914354
Room AC	Cooling Only	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093261	0.561628	0.345111	0.0	15.0	70349.171875	0.00093967349510847
Room AC	Heating and Cooling	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115948	0.610561	0.273491	0.0	71.0	359111.5	0.00436865155095113
Central AC	Cooling Only	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	11541.304688	7.043697398465892e-05
Central AC	Heating Only	2010s	0.0	0.0	0.622115	0.37788499999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	19762.224609	7.147163335470968e-05
Central AC	Heating and Cooling	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	41725.78125	8.47444433275651e-05
Central AC	None	2010s	0.0	0.0	0.6276390000000001	0.372361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1113.0	5086476.5	0.0073065543163449735
Heat Pump	Cooling Only	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	41233.539062	2.2739478730250314e-05
Heat Pump	Heating Only	2010s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	27981.810547000005	2.410658129700682e-05
Heat Pump	Heating and Cooling	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	9676.905273	2.8521047841557315e-05
Heat Pump	None	2010s	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	1526881.75	0.002547795071867284
None	Cooling Only	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	2010s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	30769.425781	0.00016078268813031273
None	Heating and Cooling	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	2010s	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	108.0	497008.15625	0.0008147666808834907
Room AC	Cooling Only	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093261	0.561628	0.345111	0.0	15.0	70349.171875	0.0001486359890849872
Room AC	Heating and Cooling	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	2010s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115948	0.610561	0.273491	0.0	71.0	359111.5	0.0007008024902767807
Central AC	Cooling Only	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	49372.148438	0.0006834520681317049
Central AC	Heating Only	<1940	0.008681	0.030846	0.622505	0.337968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	83993.710938	0.0007484681553056025
Central AC	Heating and Cooling	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	207242.515625	0.010824063888495565
Central AC	None	<1940	0.016787	0.118546	0.578663	0.286004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	3279611.0	0.06113834156514516
Heat Pump	Cooling Only	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.780942530555413e-05
Heat Pump	Heating Only	<1940	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9590916185375742e-05
Heat Pump	Heating and Cooling	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	21294.369141	0.0009355686173374261
Heat Pump	None	<1940	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	502791.75	0.004844256752260095
None	Cooling Only	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	Heating Only	<1940	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	70.0	779478.1875	0.026060669079961882
None	Heating and Cooling	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
None	None	<1940	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	342.0	3138122.5	0.05131993148401724
Room AC	Cooling Only	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	Heating Only	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.03311	0.141216	0.530813	0.294862	0.0	138.0	1401386.125	0.04093654849841223
Room AC	Heating and Cooling	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Room AC	None	<1940	0.0	0.0	0.0	0.0	0.0	0.0	0.046095	0.231258	0.474699	0.247948	0.0	520.0	4968337.5	0.0865033536424618
