Dependency=HVAC System Cooling	Dependency=HVAC System Is Shared	Dependency=HVAC System Is Heat Pump	Option=Central	Option=Room	Option=None	Option=N/A	resstock_probability
AC, SEER 10	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Both Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Both Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Both Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Both Shared	No	0.0	0.0	0.0	1.0	0.0
None	Both Shared	No	1.0	0.0	0.0	0.0	0.02689099527027646
AC, SEER 10	Neither Shared	No	1.0	0.0	0.0	0.0	0.27516275151167324
AC, SEER 13	Neither Shared	No	1.0	0.0	0.0	0.0	0.18495769640442086
AC, SEER 15	Neither Shared	No	1.0	0.0	0.0	0.0	0.03023962260183042
AC, SEER 8	Neither Shared	No	1.0	0.0	0.0	0.0	0.03936526159605448
FIXME Room AC, EER 10.7, 20% Conditioned	Neither Shared	No	0.0	1.0	0.0	0.0	0.11774931365264735
FIXME Room AC, EER 9.8, 20% Conditioned	Neither Shared	No	0.0	1.0	0.0	0.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Neither Shared	No	0.0	1.0	0.0	0.0	0.05887455145367385
None	Neither Shared	No	0.0	0.0	1.0	0.0	0.05272368032252301
AC, SEER 10	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
None	Only Cooling Shared	No	1.0	0.0	0.0	0.0	0.004930789930779979
AC, SEER 10	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.05717335895276854
AC, SEER 13	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.03786550211123935
AC, SEER 15	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.0063722692067593135
AC, SEER 8	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.008517734233138464
FIXME Room AC, EER 10.7, 20% Conditioned	Only Heating Shared	No	0.0	1.0	0.0	0.0	0.03507135293900273
FIXME Room AC, EER 9.8, 20% Conditioned	Only Heating Shared	No	0.0	1.0	0.0	0.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Heating Shared	No	0.0	1.0	0.0	0.0	0.017535640584240446
None	Only Heating Shared	No	0.0	0.0	1.0	0.0	0.015469407753542993
AC, SEER 10	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Both Shared	Yes	1.0	0.0	0.0	0.0	0.0
AC, SEER 10	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Neither Shared	Yes	1.0	0.0	0.0	0.0	0.031093786570755073
AC, SEER 10	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Only Cooling Shared	Yes	1.0	0.0	0.0	0.0	0.0
AC, SEER 10	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 9.8, 20% Conditioned	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Only Heating Shared	Yes	1.0	0.0	0.0	0.0	0.0
