Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	resstock_probability
Single-Family Detached	<1940	0.003475	0.058115	0.0	0.49965200000000004	0.23773200000000003	0.10588399999999999	0.046534	0.033172	0.015436000000000002	0.11916381022695939
Single-Family Detached	1980-99	0.006089	0.000398	0.007523	0.242062	0.21789899999999998	0.24448499999999998	0.193162	0.0	0.088381	0.0578147940863403
Single-Family Detached	1960-79	0.001993	0.002026	0.069323	0.566281	0.185994	0.109117	0.05915	0.0	0.006115	0.10704702519074354
Single-Family Detached	2000-09	0.016781	0.000102	0.001428	0.113384	0.145772	0.23293899999999998	0.260737	0.0	0.228859	0.03189116063533624
Single-Family Detached	1940-59	0.000531	0.014819999999999998	0.19501300000000002	0.55812	0.158504	0.050364	0.019145	0.0	0.003503	0.0984794684790833
Single-Family Detached	2010s	0.0031190000000000002	0.0031190000000000002	0.0	0.085239	0.205821	0.185031	0.264033	0.0	0.25363800000000003	0.005025289637778963
Single-Family Attached	1960-79	0.000391	0.022947	0.066949	0.583116	0.28442	0.03442	0.005476	0.001825	0.00045599999999999997	0.013911582987105896
Single-Family Attached	1980-99	0.000101	0.003593	0.009818	0.332642	0.421255	0.180972	0.043927	0.007237	0.000455	0.007513476478037716
Single-Family Attached	1940-59	0.000174	0.039751999999999996	0.414088	0.484613	0.054137	0.005405	0.000959	0.000785	8.7e-05	0.012798150400035724
Single-Family Attached	2010s	0.0	0.0	0.0	0.178261	0.43913	0.24347800000000003	0.12173900000000001	0.013043	0.0043479999999999994	0.000653073673801192
Single-Family Attached	2000-09	0.0	0.0	0.000381	0.145122	0.45769399999999993	0.287708	0.078523	0.026132	0.0044399999999999995	0.00414448879804132
Single-Family Attached	<1940	0.0	0.00028	0.036933	0.257974	0.286514	0.226917	0.10884200000000001	0.06911	0.013430000000000001	0.01548623676670089
Multi-Family with 2 - 4 Units	1980-99	0.7006319999999999	0.000182	0.0	0.003279	0.010019	0.034187999999999996	0.05119	0.11136800000000001	0.089143	0.026576423395061208
Multi-Family with 2 - 4 Units	2000-09	0.7545	0.0	0.0	0.00036	0.00549	0.028078	0.030868	0.100342	0.080364	0.014659764959719416
Multi-Family with 2 - 4 Units	1960-79	0.255865	0.0	0.000328	0.005495	0.027149	0.15928499999999998	0.191519	0.20948200000000003	0.15087799999999998	0.04920759659547319
Multi-Family with 2 - 4 Units	<1940	0.025227	0.00011499999999999999	0.0009050000000000001	0.052280999999999994	0.0	0.352796	0.2304	0.193955	0.144322	0.05477741047184266
Multi-Family with 2 - 4 Units	1940-59	0.084737	0.0	0.000976	0.018136000000000003	0.117595	0.284542	0.182334	0.226987	0.08469299999999999	0.045269153975594625
Multi-Family with 2 - 4 Units	2010s	0.688172	0.0	0.0	0.0	0.007168000000000001	0.032257999999999995	0.02509	0.07885299999999999	0.168459	0.0023100308510793214
Multi-Family with 5+ Units	<1940	0.745721	0.00028700000000000004	0.0012900000000000001	0.004242	0.006494	0.009998	0.011468	0.0332	0.1873	0.0926502127878372
Multi-Family with 5+ Units	1960-79	0.896374	2.8000000000000003e-05	0.000678	0.000319	0.001351	0.001175	0.0029760000000000003	0.0	0.097097	0.08322929356990272
Multi-Family with 5+ Units	2000-09	0.991527	0.0	0.0	0.00011899999999999999	8.7e-05	0.00010800000000000001	0.00013000000000000002	0.0	0.008028	0.024795396766322957
Multi-Family with 5+ Units	1980-99	0.9828469999999999	0.0	0.0	0.00016299999999999998	6.500000000000001e-05	0.000566	0.000544	0.0	0.015816	0.044951262277523454
Multi-Family with 5+ Units	1940-59	0.869815	0.0	0.000379	0.0042369999999999994	0.0031	0.009054000000000001	0.01057	0.0	0.102845	0.0765680762678059
Multi-Family with 5+ Units	2010s	0.985991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014009	0.0039071774675043
Mobile Home	<1940	0.003475	0.058115	0.0	0.49965200000000004	0.23773200000000003	0.10588399999999999	0.046534	0.033172	0.015436000000000002	0.0020352145490173663
Mobile Home	1980-99	0.006089	0.000398	0.007523	0.242062	0.21789899999999998	0.24448499999999998	0.193162	0.0	0.088381	0.0009874265504674381
Mobile Home	1960-79	0.001993	0.002026	0.069323	0.566281	0.185994	0.109117	0.05915	0.0	0.006115	0.0018282703673396024
Mobile Home	2000-09	0.016781	0.000102	0.001428	0.113384	0.145772	0.23293899999999998	0.260737	0.0	0.228859	0.0005446733700984173
Mobile Home	1940-59	0.000531	0.014819999999999998	0.19501300000000002	0.55812	0.158504	0.050364	0.019145	0.0	0.003503	0.0016819439278283773
Mobile Home	2010s	0.0031190000000000002	0.0031190000000000002	0.0	0.085239	0.205821	0.185031	0.264033	0.0	0.25363800000000003	8.582758946994542e-05
