occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,vacancy
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145,0,0,0,1
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176,0,0,0,1
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.258,0.465,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145,0,0,0,1
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.258,0.465,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176,0,0,0,1
1,0.0495,0.461,0.461,0,0.467,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285,0,0,0,1
1,0.0833,0.503,0.503,0,0.3,0.55,0.55,0.55,0,0,0,0.34,0.516,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406,0,0,0.106,1
1,0.253,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.487,0.617,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345,0,0,0,1
0.667,0.316,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.524,0.68,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145,0,0,0,1
0.333,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0,0,0,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145,0,0,0,1
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0,0,0,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115,0,0,0.128,1
0.333,0.192,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.284,0.579,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909,0,0,0.0428,1
0.333,0.186,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.288,0.585,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849,0,0,0.0857,1
0.333,0.181,0.336,0.336,0,0,0.641,0.641,0.641,0.8,0,0,0.284,0.591,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849,0.516,0,0.171,1
0,0.0495,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849,0,0,0.171,1
0,0.0495,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.258,0.465,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145,0,0,0.128,1
0.333,0.196,0.447,0.447,0,0.217,0.626,0.626,0.626,0,0,0,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352,0,0,0.0857,1
0.667,0.418,0.545,0.545,0.0288,0.55,0.672,0.672,0.672,0,0,0,0.449,0.755,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764,0,0,0.0428,1
1,0.798,0.741,0.741,0.346,0,0.733,0.733,0.733,0.167,0,0,0.741,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739,0.234,0,0,1
1,0.979,0.881,0.881,0.593,0,0.764,0.764,0.764,0.633,0,0,0.881,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412,0.572,0,0.128,1
1,0.991,0.937,0.937,0.683,0,0.733,0.733,0.733,0.667,0,0,0.937,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37,0.548,0,0.257,1
1,0.823,0.993,0.993,1,0,0.718,0.718,0.718,0.133,0,0,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309,0.503,0,0,1
1,0.621,0.965,0.965,0.679,0,0.703,0.703,0.703,0,0,0,0.965,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261,0.277,0,0.175,1
1,0.374,0.825,0.825,0.132,0,0.672,0.672,0.672,0,0,0,0.636,0.655,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145,0,0,0.205,1
1,0.116,0.699,0.699,0.0658,0,0.626,0.626,0.626,0,0,0,0.405,0.535,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145,0,0,0,1
1,0.0495,0.559,0.559,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145,0,0,0.0428,1
1,0.0495,0.517,0.517,0,0,0.596,0.596,0.596,0,0,0,0.258,0.465,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176,0,0,0,1
1,0.0495,0.517,0.517,0,0,0.58,0.58,0.58,0,0,0,0.344,0.51,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145,0,0,0,1
1,0.0495,0.503,0.503,0,0,0.565,0.565,0.565,0,0,0,0.34,0.504,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176,0,0,0,1
1,0.0495,0.461,0.461,0,0,0.55,0.55,0.55,0,0,0,0.258,0.465,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285,0,0,0.285,1
1,0.0833,0.503,0.503,0,0,0.55,0.55,0.55,0,0,0,0.34,0.516,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406,0,0,0.231,1
1,0.253,0.601,0.601,0,0,0.58,0.58,0.58,0,0,0,0.487,0.617,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345,0,0,0.0546,1
0.333,0.0495,0.657,0.657,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145,0,0,0.403,1
0.333,0.192,0.475,0.475,0,0,0.626,0.626,0.626,0.667,0,0,0.33,0.579,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145,0.601,0,0.0428,1
0.333,0.196,0.322,0.322,0,0,0.626,0.626,0.626,0.133,0,0,0.279,0.579,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115,0.146,0,0.128,1
0,0.0495,0.336,0.336,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909,0,0,0,1
0,0.0495,0.35,0.35,0,0,0.611,0.611,0.611,0,0,0,0.258,0.465,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849,0,0,0.171,1
0,0.0495,0.336,0.336,0,0.25,0.641,0.641,0.641,0,0,0,0.258,0.465,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849,0,0,0,1
0.333,0.18,0.392,0.392,0,0,0.641,0.641,0.641,0,0,0,0.302,0.591,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849,0,0,0,1
0.333,0.182,0.433,0.433,0,0,0.641,0.641,0.641,0,0,0,0.316,0.585,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145,0,0,0,1
0.333,0.196,0.447,0.447,0,0,0.626,0.626,0.626,0,0,0,0.321,0.597,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352,0,0,0,1
0.333,0.234,0.545,0.545,0.0288,0,0.672,0.672,0.672,0,0,0,0.354,0.61,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764,0,0,0.453,1
1,0.798,0.741,0.741,0.346,0.717,0.733,0.733,0.733,0,0,0,0.741,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739,0,0,0.357,1
1,0.979,0.881,0.881,0.593,0.05,0.764,0.764,0.764,0,0,0,0.881,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412,0,0,0.109,1
1,0.991,0.937,0.937,0.683,0,0.733,0.733,0.733,0,0,0,0.937,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37,0,0,0.128,1
1,0.823,0.993,0.993,1,0,0.718,0.718,0.718,0,0,0,0.993,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309,0,0,0,1
