Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.012637	0.015432	0.004739	0.033537	0.065129	0.008384	0.299430	0.013879	0.546834	0.000000	0.000000
AL, 00200	0.028880	0.045260	0.000000	0.000000	0.050648	0.011423	0.177566	0.017951	0.668272	0.000000	0.000000
AL, 00301	0.105346	0.000000	0.038773	0.008340	0.054282	0.024727	0.102359	0.033388	0.632786	0.000000	0.000000
AL, 00302	0.048671	0.000000	0.026379	0.010032	0.059818	0.086568	0.102359	0.019430	0.646744	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.008524	0.004590	0.029506	0.000000	0.643665	0.009457	0.304258	0.000000	0.000000
AL, 00500	0.010859	0.000000	0.025338	0.025338	0.036197	0.000000	0.234407	0.005223	0.662637	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.025576	0.096921	0.000000	0.428300	0.000000	0.449202	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.001494	0.003248	0.000000	0.000130	0.540823	0.000000	0.454305	0.000000	0.000000
AL, 00800	0.010887	0.000000	0.008347	0.010161	0.021592	0.000000	0.494089	0.008833	0.446091	0.000000	0.000000
AL, 00900	0.000000	0.037750	0.038930	0.000000	0.025953	0.000000	0.411738	0.000000	0.485629	0.000000	0.000000
AL, 01000	0.000000	0.018751	0.000000	0.007387	0.018940	0.007387	0.706913	0.002746	0.237878	0.000000	0.000000
AL, 01100	0.000000	0.009229	0.000000	0.000000	0.037301	0.005768	0.924794	0.002491	0.020417	0.000000	0.000000
AL, 01200	0.021348	0.010447	0.029411	0.000000	0.020440	0.041561	0.166693	0.048518	0.661582	0.000000	0.000000
AL, 01301	0.059696	0.021020	0.000000	0.020179	0.147978	0.027746	0.093787	0.000000	0.629596	0.000000	0.000000
AL, 01302	0.015580	0.000000	0.043506	0.013228	0.086719	0.117585	0.093787	0.129917	0.499679	0.000000	0.000000
AL, 01303	0.060150	0.000000	0.018185	0.024829	0.038468	0.134987	0.093787	0.039144	0.590451	0.000000	0.000000
AL, 01304	0.014199	0.000000	0.064684	0.076254	0.077832	0.043649	0.093787	0.000000	0.629596	0.000000	0.000000
AL, 01305	0.013150	0.054478	0.067158	0.013150	0.080308	0.048373	0.093787	0.002301	0.627295	0.000000	0.000000
AL, 01400	0.005639	0.000000	0.007653	0.026181	0.000000	0.000806	0.845289	0.000000	0.114432	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.092600	0.077784	0.272843	0.000000	0.556773	0.000000	0.000000
AL, 01600	0.033116	0.006832	0.035200	0.027442	0.046895	0.048400	0.214820	0.038013	0.549284	0.000000	0.000000
AL, 01700	0.003722	0.004218	0.016375	0.004218	0.004962	0.008932	0.833697	0.000000	0.123878	0.000000	0.000000
AL, 01800	0.003087	0.007202	0.000000	0.000000	0.034210	0.025722	0.645889	0.020639	0.263251	0.000000	0.000000
AL, 01900	0.048876	0.038550	0.030748	0.022488	0.033272	0.020308	0.296150	0.016466	0.493142	0.000000	0.000000
AL, 02000	0.064680	0.036040	0.013837	0.050199	0.037328	0.041189	0.158792	0.022980	0.574955	0.000000	0.000000
AL, 02100	0.009168	0.007875	0.018807	0.024449	0.033382	0.002586	0.381434	0.000000	0.522299	0.000000	0.000000
AL, 02200	0.000000	0.006247	0.000000	0.006247	0.036472	0.002821	0.745761	0.000000	0.202453	0.000000	0.000000
AL, 02300	0.000000	0.013301	0.011551	0.022751	0.030102	0.000000	0.469561	0.017981	0.434753	0.000000	0.000000
AL, 02400	0.027495	0.009661	0.022108	0.010961	0.076913	0.003901	0.347024	0.003614	0.498323	0.000000	0.000000
AL, 02500	0.011605	0.003815	0.040698	0.026072	0.014944	0.013036	0.384400	0.008974	0.496455	0.000000	0.000000
AL, 02600	0.022387	0.001520	0.031370	0.011470	0.024737	0.020038	0.230148	0.016130	0.642200	0.000000	0.000000
AL, 02701	0.048000	0.048000	0.039354	0.002981	0.016100	0.019379	0.280323	0.262186	0.283676	0.000000	0.000000
AL, 02702	0.049037	0.006635	0.052921	0.005664	0.043858	0.015698	0.280323	0.000000	0.545862	0.000000	0.000000
AL, 02703	0.031406	0.000000	0.000000	0.019223	0.046297	0.076890	0.280323	0.000000	0.545862	0.000000	0.000000
AR, 00100	0.038283	0.016688	0.027093	0.008246	0.053400	0.009620	0.089256	0.058066	0.699349	0.000000	0.000000
AR, 00200	0.077558	0.010924	0.064450	0.030368	0.029276	0.084331	0.094485	0.016541	0.592069	0.000000	0.000000
AR, 00300	0.000000	0.035421	0.009364	0.022800	0.000000	0.008957	0.403941	0.023163	0.496353	0.000000	0.000000
AR, 00400	0.002477	0.012918	0.004424	0.019820	0.008317	0.002477	0.539062	0.000000	0.410504	0.000000	0.000000
AR, 00500	0.038067	0.035018	0.003940	0.105724	0.020966	0.006468	0.180349	0.010416	0.599050	0.000000	0.000000
AR, 00600	0.000000	0.021677	0.000000	0.023775	0.116076	0.035662	0.329937	0.000000	0.472872	0.000000	0.000000
AR, 00700	0.000000	0.039264	0.000000	0.058897	0.000000	0.000000	0.623882	0.000000	0.277957	0.000000	0.000000
AR, 00800	0.049693	0.021203	0.000000	0.027166	0.012589	0.013914	0.427120	0.007789	0.440527	0.000000	0.000000
AR, 00900	0.132248	0.022736	0.049162	0.023093	0.037734	0.008332	0.123074	0.015298	0.588324	0.000000	0.000000
AR, 01000	0.058196	0.019399	0.042461	0.004311	0.027158	0.121780	0.123074	0.019918	0.583704	0.000000	0.000000
AR, 01100	0.070789	0.011470	0.021384	0.014830	0.037361	0.004834	0.260591	0.012568	0.566173	0.000000	0.000000
AR, 01200	0.037463	0.010854	0.004201	0.005427	0.022057	0.000000	0.286494	0.000000	0.633504	0.000000	0.000000
AR, 01300	0.055519	0.044009	0.000000	0.027759	0.000000	0.000000	0.332075	0.000000	0.540639	0.000000	0.000000
AR, 01400	0.016282	0.093826	0.000000	0.036978	0.059055	0.016833	0.136777	0.018242	0.622006	0.000000	0.000000
AR, 01500	0.018802	0.007357	0.009810	0.002452	0.015532	0.000000	0.540189	0.012246	0.393610	0.000000	0.000000
AR, 01600	0.058264	0.009592	0.014211	0.016342	0.020961	0.019184	0.351242	0.000000	0.510204	0.000000	0.000000
AR, 01700	0.018385	0.003464	0.004707	0.002309	0.007727	0.000000	0.699433	0.000000	0.263975	0.000000	0.000000
AR, 01800	0.026094	0.022675	0.000000	0.000000	0.002879	0.000000	0.718421	0.000000	0.229931	0.000000	0.000000
AR, 01900	0.000000	0.000000	0.017174	0.033322	0.000000	0.000000	0.739421	0.000000	0.210083	0.000000	0.000000
AR, 02000	0.016819	0.000000	0.044290	0.005046	0.040366	0.011213	0.563419	0.000000	0.318848	0.000000	0.000000
AZ, 00100	0.115609	0.000000	0.064567	0.013524	0.017450	0.051479	0.113498	0.004444	0.619428	0.000000	0.000000
AZ, 00101	0.064805	0.000000	0.055709	0.038655	0.060257	0.043203	0.113498	0.053671	0.570201	0.000000	0.000000
AZ, 00102	0.170092	0.007932	0.000000	0.026439	0.000000	0.058166	0.113498	0.000000	0.623872	0.000000	0.000000
AZ, 00103	0.062455	0.000000	0.076067	0.015213	0.029626	0.079269	0.113498	0.000000	0.623872	0.000000	0.000000
AZ, 00104	0.000000	0.000000	0.097137	0.082746	0.043172	0.039574	0.113498	0.000000	0.623872	0.000000	0.000000
