Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	2020s	0.127971	0.044420	0.086149	0.348079	0.237222	0.126291	0.029868	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	2020s	0.000000	0.186034	0.158104	0.546495	0.109366	0.000000	0.000000	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	2020s	0.085999	0.120171	0.462042	0.290429	0.041359	0.000000	0.000000	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	2020s	0.060261	0.000000	0.000000	0.479418	0.183902	0.056703	0.145866	0.073850	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	2020s	0.012862	0.000000	0.000000	0.033832	0.057281	0.140401	0.184076	0.304253	0.267295
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	2020s	0.127971	0.044420	0.086149	0.348079	0.237222	0.126291	0.029868	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Multi-Family with 2 - 4 Units	2020s	0.000000	0.186034	0.158104	0.546495	0.109366	0.000000	0.000000	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Multi-Family with 5+ Units	2020s	0.108472	0.126875	0.295636	0.368778	0.100239	0.000000	0.000000	0.000000	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Single-Family Attached	2020s	0.000000	0.000000	0.000000	0.000000	0.670003	0.179809	0.000000	0.150188	0.000000
CBSA Boston-Cambridge-Newton, MA-NH	Single-Family Detached	2020s	0.000000	0.000000	0.076194	0.000000	0.185938	0.178431	0.133380	0.254181	0.171876
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Mobile Home	2020s	0.127971	0.044420	0.086149	0.348079	0.237222	0.126291	0.029868	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Multi-Family with 2 - 4 Units	2020s	0.000000	0.077281	0.303663	0.420638	0.000000	0.198418	0.000000	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Multi-Family with 5+ Units	2020s	0.218873	0.241417	0.380073	0.159637	0.000000	0.000000	0.000000	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Single-Family Attached	2020s	0.000000	0.000000	0.000000	0.263714	0.423944	0.000000	0.312342	0.000000	0.000000
CBSA Chicago-Naperville-Elgin, IL-IN-WI	Single-Family Detached	2020s	0.000000	0.000000	0.000000	0.124695	0.116782	0.042517	0.100690	0.304039	0.311277
CBSA Dallas-Fort Worth-Arlington, TX	Mobile Home	2020s	0.145680	0.000000	0.000000	0.501577	0.352743	0.000000	0.000000	0.000000	0.000000
CBSA Dallas-Fort Worth-Arlington, TX	Multi-Family with 2 - 4 Units	2020s	0.000000	0.193697	0.660021	0.000000	0.000000	0.146282	0.000000	0.000000	0.000000
CBSA Dallas-Fort Worth-Arlington, TX	Multi-Family with 5+ Units	2020s	0.013628	0.304047	0.300206	0.335110	0.047008	0.000000	0.000000	0.000000	0.000000
CBSA Dallas-Fort Worth-Arlington, TX	Single-Family Attached	2020s	0.000000	0.070017	0.072468	0.152198	0.245770	0.228538	0.064462	0.166547	0.000000
CBSA Dallas-Fort Worth-Arlington, TX	Single-Family Detached	2020s	0.000000	0.000000	0.000000	0.045201	0.140550	0.237284	0.137922	0.227683	0.211360
CBSA Detroit-Warren-Dearborn, MI	Mobile Home	2020s	0.000000	0.000000	0.000000	0.517698	0.482302	0.000000	0.000000	0.000000	0.000000
CBSA Detroit-Warren-Dearborn, MI	Multi-Family with 2 - 4 Units	2020s	0.000000	0.186034	0.158104	0.546495	0.109366	0.000000	0.000000	0.000000	0.000000
CBSA Detroit-Warren-Dearborn, MI	Multi-Family with 5+ Units	2020s	0.335689	0.000000	0.464969	0.199343	0.000000	0.000000	0.000000	0.000000	0.000000
CBSA Detroit-Warren-Dearborn, MI	Single-Family Attached	2020s	0.000000	0.133072	0.120010	0.474092	0.109223	0.163603	0.000000	0.000000	0.000000
CBSA Detroit-Warren-Dearborn, MI	Single-Family Detached	2020s	0.000000	0.038082	0.054649	0.068492	0.160499	0.060917	0.081392	0.302949	0.233021
CBSA Houston-The Woodlands-Sugar Land, TX	Mobile Home	2020s	0.180937	0.000000	0.169876	0.473683	0.071019	0.104486	0.000000	0.000000	0.000000
CBSA Houston-The Woodlands-Sugar Land, TX	Multi-Family with 2 - 4 Units	2020s	0.000000	0.134903	0.483154	0.171809	0.210135	0.000000	0.000000	0.000000	0.000000
CBSA Houston-The Woodlands-Sugar Land, TX	Multi-Family with 5+ Units	2020s	0.000000	0.203593	0.415829	0.345817	0.034761	0.000000	0.000000	0.000000	0.000000
