Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
Mobile Home	2040s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2040s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2040s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2040s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2040s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2040s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
