Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight
AL, 00100	10 to 19 Unit	0.012505	0.017507	0.083418	0.374978	0.165739	0.172141	0.050022	0.123690	0.000000	0.000000	0.000000
AL, 00100	2 Unit	0.030403	0.076876	0.201412	0.225603	0.063744	0.119087	0.135557	0.104926	0.042392	0.000000	0.000000
AL, 00100	20 to 49 Unit	0.000000	0.082009	0.186337	0.142800	0.136129	0.260021	0.068554	0.099737	0.024413	0.000000	0.000000
AL, 00100	3 or 4 Unit	0.013861	0.123492	0.075493	0.170573	0.179563	0.163793	0.065641	0.165394	0.042189	0.000000	0.000000
AL, 00100	5 to 9 Unit	0.001856	0.019722	0.014126	0.220903	0.119052	0.241535	0.137285	0.236568	0.008953	0.000000	0.000000
AL, 00100	50 or more Unit	0.043131	0.063209	0.067429	0.369894	0.054993	0.161594	0.050996	0.097605	0.091150	0.000000	0.000000
AL, 00100	Mobile Home	0.001359	0.009343	0.008841	0.103776	0.243073	0.388992	0.147736	0.091731	0.005149	0.000000	0.000000
AL, 00100	Single-Family Attached	0.100901	0.039749	0.093883	0.283647	0.208049	0.142662	0.023205	0.107904	0.000000	0.000000	0.000000
AL, 00100	Single-Family Detached	0.045072	0.111051	0.164704	0.209694	0.109053	0.132556	0.117971	0.039552	0.070346	0.000000	0.000000
AL, 00200	10 to 19 Unit	0.000000	0.000000	0.089458	0.137114	0.285560	0.204621	0.147443	0.126861	0.008943	0.000000	0.000000
AL, 00200	2 Unit	0.109096	0.068185	0.136664	0.196383	0.053716	0.107433	0.043143	0.273095	0.012285	0.000000	0.000000
AL, 00200	20 to 49 Unit	0.000000	0.000000	0.092288	0.369151	0.227543	0.050193	0.227920	0.000000	0.032906	0.000000	0.000000
AL, 00200	3 or 4 Unit	0.000000	0.111845	0.044897	0.322337	0.289265	0.076386	0.142955	0.000000	0.012314	0.000000	0.000000
AL, 00200	5 to 9 Unit	0.000000	0.000000	0.042131	0.101114	0.138139	0.338474	0.213542	0.160161	0.006438	0.000000	0.000000
AL, 00200	50 or more Unit	0.000000	0.000000	0.097169	0.357332	0.064782	0.177297	0.081773	0.188118	0.033529	0.000000	0.000000
AL, 00200	Mobile Home	0.002980	0.000000	0.029606	0.094892	0.256247	0.379379	0.174647	0.058757	0.003492	0.000000	0.000000
AL, 00200	Single-Family Attached	0.000000	0.028831	0.118568	0.078376	0.063028	0.055613	0.404823	0.250761	0.000000	0.000000	0.000000
AL, 00200	Single-Family Detached	0.029059	0.058735	0.105844	0.144173	0.110316	0.189076	0.221022	0.116676	0.025099	0.000000	0.000000
AL, 00301	10 to 19 Unit	0.005551	0.025378	0.061899	0.130996	0.197427	0.225996	0.153480	0.190544	0.008729	0.000000	0.000000
AL, 00301	2 Unit	0.012748	0.121107	0.048593	0.395685	0.173071	0.171358	0.042361	0.000000	0.035077	0.000000	0.000000
AL, 00301	20 to 49 Unit	0.000000	0.012248	0.100046	0.065956	0.238729	0.143786	0.236244	0.180522	0.022468	0.000000	0.000000
AL, 00301	3 or 4 Unit	0.000000	0.099794	0.091617	0.186228	0.235023	0.250987	0.086821	0.031375	0.018154	0.000000	0.000000
AL, 00301	5 to 9 Unit	0.000000	0.027984	0.075211	0.234543	0.165506	0.156795	0.207596	0.121559	0.010807	0.000000	0.000000
AL, 00301	50 or more Unit	0.000000	0.025476	0.082311	0.191442	0.212999	0.223957	0.092104	0.143672	0.028039	0.000000	0.000000
AL, 00301	Mobile Home	0.002464	0.002464	0.071876	0.034376	0.150649	0.474544	0.206190	0.053896	0.003542	0.000000	0.000000
AL, 00301	Single-Family Attached	0.000000	0.000000	0.031066	0.121256	0.319457	0.025387	0.299955	0.202880	0.000000	0.000000	0.000000
AL, 00301	Single-Family Detached	0.011931	0.087100	0.152578	0.101074	0.123434	0.198164	0.201506	0.098958	0.025255	0.000000	0.000000
AL, 00302	10 to 19 Unit	0.000000	0.004938	0.042992	0.150946	0.368709	0.127967	0.171516	0.129083	0.003850	0.000000	0.000000
AL, 00302	2 Unit	0.089560	0.145470	0.257052	0.220649	0.050669	0.153456	0.024519	0.000000	0.058625	0.000000	0.000000
AL, 00302	20 to 49 Unit	0.000000	0.013611	0.135487	0.169982	0.213804	0.083416	0.260612	0.123088	0.000000	0.000000	0.000000
AL, 00302	3 or 4 Unit	0.019992	0.066213	0.109762	0.165828	0.266204	0.192857	0.130307	0.029645	0.019190	0.000000	0.000000
AL, 00302	5 to 9 Unit	0.006816	0.022640	0.107779	0.158612	0.336991	0.092247	0.141567	0.117315	0.016032	0.000000	0.000000
AL, 00302	50 or more Unit	0.010247	0.008898	0.047210	0.116864	0.105569	0.165140	0.144742	0.376105	0.025226	0.000000	0.000000
AL, 00302	Mobile Home	0.002464	0.002464	0.000000	0.106252	0.277970	0.347222	0.206190	0.053896	0.003542	0.000000	0.000000
AL, 00302	Single-Family Attached	0.000000	0.018878	0.058121	0.093459	0.403139	0.103311	0.248437	0.072492	0.002163	0.000000	0.000000
