Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.016942	0.024388	0.007879	0.033624	0.045653	0.014244	0.095493	0.007022	0.754756	0.000000	0.000000
AL, 00200	0.033953	0.024718	0.009228	0.024659	0.047165	0.009056	0.075745	0.009573	0.765903	0.000000	0.000000
AL, 00301	0.065686	0.016345	0.025518	0.031581	0.053054	0.020448	0.043253	0.018670	0.725444	0.000000	0.000000
AL, 00302	0.044798	0.014244	0.025462	0.040203	0.060580	0.027346	0.043253	0.030407	0.713707	0.000000	0.000000
AL, 00400	0.003503	0.028614	0.002959	0.015751	0.023663	0.002075	0.212752	0.009868	0.700816	0.000000	0.000000
AL, 00500	0.011923	0.026103	0.004557	0.038406	0.038628	0.004418	0.106461	0.005138	0.764367	0.000000	0.000000
AL, 00600	0.018691	0.012025	0.010360	0.029796	0.046825	0.011979	0.128138	0.023693	0.718493	0.000000	0.000000
AL, 00700	0.008013	0.018808	0.009459	0.019990	0.029252	0.002526	0.205268	0.005305	0.701378	0.000000	0.000000
AL, 00800	0.006515	0.016584	0.006495	0.013288	0.019425	0.001082	0.223629	0.008881	0.704101	0.000000	0.000000
AL, 00900	0.014660	0.021078	0.011123	0.029174	0.026789	0.009186	0.104129	0.005638	0.778224	0.000000	0.000000
AL, 01000	0.007600	0.026513	0.006959	0.023413	0.022920	0.005558	0.233704	0.006228	0.667103	0.000000	0.000000
AL, 01100	0.016546	0.017725	0.007853	0.021211	0.037547	0.007695	0.135759	0.020447	0.735218	0.000000	0.000000
AL, 01200	0.034770	0.006278	0.022532	0.011380	0.025867	0.011893	0.068388	0.059774	0.759117	0.000000	0.000000
AL, 01301	0.055670	0.023215	0.025796	0.035037	0.079666	0.028054	0.024849	0.026155	0.701557	0.000000	0.000000
AL, 01302	0.052525	0.014682	0.041004	0.029824	0.064191	0.045213	0.024849	0.035838	0.691874	0.000000	0.000000
AL, 01303	0.068943	0.005308	0.032970	0.031825	0.065150	0.043243	0.024849	0.048012	0.679701	0.000000	0.000000
AL, 01304	0.061476	0.019685	0.023355	0.033861	0.090256	0.018805	0.024849	0.014495	0.713217	0.000000	0.000000
AL, 01305	0.040231	0.050293	0.029697	0.036840	0.066905	0.023473	0.024849	0.009814	0.717899	0.000000	0.000000
AL, 01400	0.002668	0.026564	0.005155	0.024309	0.024888	0.001518	0.231244	0.006287	0.677366	0.000000	0.000000
AL, 01500	0.038343	0.057230	0.014646	0.017563	0.041067	0.030609	0.130687	0.002275	0.667580	0.000000	0.000000
AL, 01600	0.052637	0.022579	0.027214	0.035940	0.056491	0.031049	0.097435	0.028456	0.648200	0.000000	0.000000
AL, 01700	0.005820	0.029531	0.011487	0.046993	0.027191	0.012125	0.261798	0.007297	0.597757	0.000000	0.000000
AL, 01800	0.006605	0.034283	0.003567	0.014973	0.023242	0.007945	0.230656	0.011394	0.667334	0.000000	0.000000
AL, 01900	0.061060	0.047602	0.028370	0.022993	0.043742	0.015470	0.162532	0.028877	0.589354	0.000000	0.000000
AL, 02000	0.039152	0.014694	0.018279	0.042833	0.078724	0.026652	0.037462	0.027023	0.715183	0.000000	0.000000
AL, 02100	0.019617	0.015801	0.013474	0.028851	0.035575	0.001444	0.149575	0.009906	0.725757	0.000000	0.000000
AL, 02200	0.004762	0.011859	0.006759	0.027030	0.030470	0.003524	0.239940	0.005252	0.670403	0.000000	0.000000
AL, 02300	0.004385	0.024288	0.002724	0.023443	0.034901	0.004133	0.179939	0.018245	0.707942	0.000000	0.000000
AL, 02400	0.014569	0.036801	0.008041	0.044128	0.060986	0.005359	0.197963	0.009803	0.622350	0.000000	0.000000
AL, 02500	0.011529	0.024536	0.007497	0.030756	0.028897	0.006843	0.155681	0.017621	0.716639	0.000000	0.000000
AL, 02600	0.031567	0.008712	0.017904	0.026488	0.024749	0.020195	0.113048	0.014548	0.742790	0.000000	0.000000
AL, 02701	0.032268	0.029919	0.013225	0.026845	0.040098	0.030569	0.074065	0.032196	0.720815	0.000000	0.000000
AL, 02702	0.046668	0.009567	0.022518	0.018250	0.054558	0.021363	0.074065	0.013425	0.739586	0.000000	0.000000
AL, 02703	0.029661	0.016105	0.022459	0.025908	0.053698	0.025093	0.074065	0.004079	0.748932	0.000000	0.000000
AR, 00100	0.048769	0.017612	0.008830	0.030000	0.033918	0.010135	0.042774	0.058154	0.749810	0.000000	0.000000
AR, 00200	0.102037	0.050412	0.025959	0.044154	0.052312	0.022476	0.045033	0.026323	0.631294	0.000000	0.000000
AR, 00300	0.012058	0.018240	0.006331	0.024127	0.014607	0.004022	0.131255	0.018275	0.771083	0.000000	0.000000
AR, 00400	0.005262	0.015409	0.009058	0.022084	0.007982	0.003718	0.195753	0.008535	0.732198	0.000000	0.000000
AR, 00500	0.031367	0.030162	0.013642	0.056410	0.030341	0.014882	0.083718	0.012931	0.726546	0.000000	0.000000
AR, 00600	0.019171	0.061178	0.009022	0.058426	0.050665	0.006243	0.066186	0.012275	0.716833	0.000000	0.000000
AR, 00700	0.011897	0.063979	0.005092	0.038472	0.035269	0.002048	0.127059	0.010963	0.705221	0.000000	0.000000
AR, 00800	0.015926	0.027122	0.015644	0.032108	0.022960	0.009555	0.169601	0.008726	0.698357	0.000000	0.000000
AR, 00900	0.064503	0.039695	0.023042	0.043281	0.055854	0.028423	0.048093	0.016274	0.680835	0.000000	0.000000
AR, 01000	0.070477	0.020884	0.023418	0.026059	0.059397	0.054564	0.048093	0.017757	0.679351	0.000000	0.000000
AR, 01100	0.045131	0.037831	0.010409	0.026197	0.036077	0.009530	0.119947	0.013698	0.701180	0.000000	0.000000
AR, 01200	0.031729	0.010542	0.003317	0.010308	0.025177	0.006692	0.144098	0.003267	0.764869	0.000000	0.000000
AR, 01300	0.011509	0.029248	0.006402	0.039221	0.026606	0.005583	0.130982	0.005576	0.744873	0.000000	0.000000
AR, 01400	0.030525	0.049643	0.015905	0.040769	0.036369	0.019178	0.056013	0.021333	0.730266	0.000000	0.000000
AR, 01500	0.012333	0.023878	0.003892	0.019972	0.011445	0.001400	0.160807	0.006900	0.759374	0.000000	0.000000
AR, 01600	0.014448	0.017409	0.016476	0.035688	0.031364	0.022900	0.165436	0.014476	0.681802	0.000000	0.000000
AR, 01700	0.033325	0.020229	0.012948	0.019111	0.044293	0.016710	0.139811	0.008696	0.704876	0.000000	0.000000
AR, 01800	0.010910	0.029881	0.011281	0.025158	0.020841	0.001559	0.198786	0.007479	0.694103	0.000000	0.000000
AR, 01900	0.010543	0.012484	0.005767	0.031943	0.034048	0.005416	0.182013	0.004863	0.712924	0.000000	0.000000
AR, 02000	0.023108	0.030800	0.010173	0.021013	0.029493	0.004249	0.163805	0.004960	0.712398	0.000000	0.000000
AZ, 00100	0.119743	0.000286	0.016452	0.008228	0.047190	0.057328	0.046445	0.013562	0.690767	0.000000	0.000000
AZ, 00101	0.061246	0.010132	0.031909	0.038786	0.051998	0.055155	0.046445	0.030421	0.673909	0.000000	0.000000
AZ, 00102	0.065629	0.017866	0.029652	0.062072	0.037070	0.036936	0.046445	0.071799	0.632531	0.000000	0.000000
AZ, 00103	0.070817	0.011562	0.033362	0.039017	0.048137	0.046331	0.046445	0.089044	0.615286	0.000000	0.000000
AZ, 00104	0.058650	0.006780	0.032013	0.049649	0.060027	0.042108	0.046445	0.105303	0.599026	0.000000	0.000000
AZ, 00105	0.059836	0.007760	0.028758	0.037397	0.050660	0.064815	0.046445	0.025295	0.679035	0.000000	0.000000
AZ, 00106	0.059772	0.012880	0.014121	0.042847	0.080031	0.039575	0.046445	0.059122	0.645208	0.000000	0.000000
AZ, 00107	0.065800	0.010937	0.013555	0.041133	0.064021	0.053778	0.046445	0.018914	0.685416	0.000000	0.000000
AZ, 00108	0.083576	0.002999	0.016824	0.024728	0.065151	0.055947	0.046445	0.067250	0.637080	0.000000	0.000000
AZ, 00109	0.072087	0.005764	0.042721	0.032467	0.039398	0.056788	0.046445	0.173229	0.531101	0.000000	0.000000
AZ, 00110	0.044624	0.006627	0.031954	0.034286	0.047180	0.084555	0.046445	0.136115	0.568215	0.000000	0.000000
AZ, 00111	0.044665	0.016004	0.012917	0.047739	0.045668	0.082232	0.046445	0.070490	0.633840	0.000000	0.000000
AZ, 00112	0.034049	0.016334	0.030126	0.042052	0.063730	0.062934	0.046445	0.044499	0.659831	0.000000	0.000000
AZ, 00113	0.055007	0.003332	0.025446	0.038551	0.046457	0.080432	0.046445	0.040715	0.663615	0.000000	0.000000
AZ, 00114	0.051714	0.010117	0.036886	0.057985	0.040244	0.052280	0.046445	0.086100	0.618230	0.000000	0.000000
AZ, 00115	0.051199	0.008300	0.036310	0.048138	0.058731	0.046548	0.046445	0.053184	0.651146	0.000000	0.000000
AZ, 00116	0.054346	0.012468	0.039744	0.037556	0.047844	0.057267	0.046445	0.156914	0.547416	0.000000	0.000000
AZ, 00117	0.056163	0.008548	0.035169	0.034948	0.030494	0.083903	0.046445	0.119632	0.584698	0.000000	0.000000
AZ, 00118	0.043833	0.014061	0.041407	0.030219	0.041681	0.078024	0.046445	0.105813	0.598517	0.000000	0.000000
AZ, 00119	0.053015	0.027758	0.034342	0.053532	0.038644	0.041935	0.046445	0.037507	0.666823	0.000000	0.000000
AZ, 00120	0.073346	0.008831	0.033218	0.036948	0.050582	0.046300	0.046445	0.031026	0.673304	0.000000	0.000000
AZ, 00121	0.078295	0.032779	0.009499	0.038851	0.058240	0.031561	0.046445	0.015416	0.688914	0.000000	0.000000
AZ, 00122	0.069996	0.006208	0.035331	0.029706	0.071795	0.036189	0.046445	0.024233	0.680097	0.000000	0.000000
AZ, 00123	0.061697	0.014031	0.021295	0.042361	0.077740	0.032102	0.046445	0.044040	0.660290	0.000000	0.000000
AZ, 00124	0.073243	0.015188	0.022327	0.036736	0.061666	0.040064	0.046445	0.039344	0.664986	0.000000	0.000000
AZ, 00125	0.069437	0.009652	0.025709	0.037931	0.040001	0.066495	0.046445	0.032154	0.672176	0.000000	0.000000
AZ, 00126	0.052182	0.006067	0.032855	0.029969	0.070711	0.057440	0.046445	0.016947	0.687383	0.000000	0.000000
AZ, 00127	0.047582	0.018122	0.018041	0.037256	0.062157	0.066068	0.046445	0.059858	0.644472	0.000000	0.000000
AZ, 00128	0.084540	0.004131	0.015261	0.062905	0.055082	0.027307	0.046445	0.025950	0.678380	0.000000	0.000000
AZ, 00129	0.082262	0.001655	0.027991	0.018079	0.049736	0.069503	0.046445	0.020909	0.683421	0.000000	0.000000
AZ, 00130	0.027862	0.014531	0.036096	0.029093	0.041516	0.100127	0.046445	0.087359	0.616971	0.000000	0.000000
AZ, 00131	0.042331	0.014265	0.031937	0.048282	0.053072	0.059339	0.046445	0.030936	0.673394	0.000000	0.000000
AZ, 00132	0.024677	0.009308	0.008289	0.046042	0.065177	0.095732	0.046445	0.032549	0.671781	0.000000	0.000000
AZ, 00133	0.053374	0.011695	0.030478	0.032145	0.046858	0.074675	0.046445	0.016052	0.688278	0.000000	0.000000
AZ, 00134	0.030939	0.041372	0.038207	0.071224	0.060707	0.006777	0.046445	0.023719	0.680611	0.000000	0.000000
AZ, 00201	0.067097	0.013988	0.040903	0.016980	0.023192	0.066172	0.095387	0.040911	0.635370	0.000000	0.000000
AZ, 00202	0.056927	0.018857	0.036935	0.031334	0.042010	0.042269	0.095387	0.045327	0.630954	0.000000	0.000000
AZ, 00203	0.072743	0.008918	0.027739	0.021343	0.037004	0.060586	0.095387	0.037094	0.639187	0.000000	0.000000
AZ, 00204	0.050323	0.006908	0.029299	0.042872	0.044813	0.054117	0.095387	0.067245	0.609036	0.000000	0.000000
AZ, 00205	0.021439	0.020911	0.007942	0.102790	0.012979	0.062271	0.095387	0.084297	0.591984	0.000000	0.000000
AZ, 00206	0.053141	0.018748	0.030459	0.023665	0.034889	0.067429	0.095387	0.155737	0.520545	0.000000	0.000000
AZ, 00207	0.042751	0.031068	0.049658	0.038318	0.023847	0.042690	0.095387	0.157102	0.519179	0.000000	0.000000
AZ, 00208	0.053199	0.028735	0.037618	0.024519	0.030265	0.053996	0.095387	0.085026	0.591255	0.000000	0.000000
AZ, 00209	0.067486	0.017597	0.051296	0.020755	0.029147	0.042050	0.095387	0.110202	0.566080	0.000000	0.000000
AZ, 00300	0.007225	0.020567	0.004947	0.028313	0.015846	0.002737	0.222313	0.019941	0.678110	0.000000	0.000000
AZ, 00400	0.055013	0.020178	0.015674	0.034169	0.061566	0.024741	0.134505	0.060497	0.593657	0.000000	0.000000
AZ, 00500	0.009566	0.027851	0.009351	0.031857	0.016938	0.016493	0.181722	0.033097	0.673125	0.000000	0.000000
AZ, 00600	0.012231	0.021326	0.009247	0.025735	0.017088	0.014238	0.276549	0.016089	0.607498	0.000000	0.000000
AZ, 00700	0.026401	0.012742	0.007957	0.033869	0.037212	0.012261	0.238543	0.036083	0.594932	0.000000	0.000000
AZ, 00800	0.004026	0.007246	0.007930	0.023714	0.015883	0.004783	0.226007	0.010616	0.699795	0.000000	0.000000
AZ, 00803	0.011099	0.002556	0.003602	0.020565	0.010275	0.003744	0.163568	0.014801	0.769790	0.000000	0.000000
AZ, 00805	0.008645	0.011417	0.004301	0.013005	0.012428	0.002044	0.163568	0.015574	0.769017	0.000000	0.000000
AZ, 00807	0.011023	0.007495	0.004144	0.010603	0.006034	0.012543	0.163568	0.021230	0.763361	0.000000	0.000000
AZ, 00900	0.021193	0.014154	0.014000	0.029145	0.021065	0.023211	0.162156	0.027303	0.687774	0.000000	0.000000
CA, 00101	0.063488	0.053178	0.064812	0.058701	0.070586	0.062948	0.012770	0.097858	0.515659	0.000000	0.000000
CA, 00102	0.051174	0.032073	0.072032	0.058407	0.045401	0.114627	0.012770	0.152267	0.461250	0.000000	0.000000
CA, 00103	0.067687	0.044346	0.075491	0.068167	0.061964	0.056059	0.012770	0.050296	0.563221	0.000000	0.000000
