const,major_elec_load_count_w_ev_pv,panel_amp_pre_bin__101_199,panel_amp_pre_bin__200,panel_amp_pre_bin__201_plus,panel_amp_pre_bin__lt_100,panel_slots_empty,sqft_1000,predictions_mean
1.0,1,1,0,0,0,6,1.288,3.964387330185412
1.0,1,0,0,0,0,1,1.317,3.830440147979834
1.0,1,0,1,0,0,0,1.912,7.307601250534071
1.0,3,0,0,0,0,3,1.881,3.4377193269653312
1.0,0,0,0,0,0,8,0.935,4.022108639320964
1.0,3,0,0,0,0,3,1.52,3.380616564004355
1.0,3,0,0,0,1,1,1.222,3.23364958298076
1.0,4,0,1,0,0,24,2.098,6.016199702258452
1.0,0,1,0,0,0,0,1.124,4.207466846475172
1.0,2,0,0,0,1,4,1.86,3.533423883456225
1.0,0,0,0,0,0,4,0.836,4.002540948165284
1.0,4,0,1,0,0,1,2.474,6.089418406376588
1.0,3,0,0,0,0,4,1.49,3.3758385761109544
1.0,1,0,0,0,0,6,1.341,3.834819024480034
1.0,2,0,1,0,0,0,1.263,6.687721201049236
1.0,3,1,0,0,0,12,1.145,3.441915566093501
1.0,1,0,0,1,0,2,1.04,3.551534709426157
1.0,4,0,0,0,0,7,1.472,3.153540838210864
1.0,2,0,0,0,0,5,0.989,3.5247892357169293
1.0,2,1,0,0,0,0,1.038,3.662628657202843
1.0,3,0,0,0,0,1,0.955,3.2897981977684574
1.0,4,0,0,0,0,2,1.519,3.160558260374981
1.0,3,0,0,0,0,2,1.438,3.367544919046067
1.0,3,0,0,0,0,8,1.492,3.3761572638347914
1.0,0,0,0,1,0,5,1.175,3.82905096653702
1.0,1,0,0,0,0,1,1.268,3.8214886763883564
1.0,0,0,1,0,0,13,1.095,7.600986195170736
1.0,3,0,0,0,0,4,1.266,3.3400055962000774
1.0,4,1,0,0,0,3,3.081,3.5065369548949374
1.0,1,0,0,0,0,3,1.702,3.900245119864323
1.0,2,1,0,0,0,1,0.856,3.630446361697742
1.0,1,0,0,0,0,2,1.036,3.778901606286746
1.0,2,0,0,0,0,7,0.8,3.491992804068443
1.0,2,0,0,0,0,10,1.994,3.6956585946676346
1.0,3,1,0,0,0,14,1.501,3.5001502116212175
1.0,1,0,1,0,0,13,1.263,7.150380031259151
1.0,1,0,1,0,0,3,2.556,7.460256430792767
1.0,2,0,0,1,0,8,2.204,3.5381252727517714
1.0,2,0,0,0,0,2,1.926,3.6842864449488775
1.0,3,0,0,0,0,10,2.13,3.4766822330514615
1.0,4,0,0,0,0,1,0.92,3.0702718699607914
1.0,2,1,0,0,0,2,1.889,3.8104385161644574
1.0,3,0,0,0,0,9,1.145,3.320534416054969
1.0,2,0,0,0,0,9,1.63,3.634462863567453
1.0,0,0,0,1,0,0,1.428,3.88367676938044
1.0,2,0,1,0,0,22,1.134,6.658038244002427
1.0,2,0,0,0,0,4,1.703,3.6467989122582627
1.0,3,0,0,0,0,4,0.949,3.2888243783521243
1.0,1,0,0,1,0,18,2.684,3.8786519693793235
1.0,3,1,0,0,0,2,3.237,3.7737225707174544
1.0,1,0,0,0,0,7,1.78,3.9142728354335623
1.0,2,1,0,0,0,8,1.533,3.7491430601336044
1.0,2,0,1,0,0,3,1.25,6.684735971638089
1.0,0,1,0,0,0,10,1.284,4.239397834320063
1.0,1,0,0,1,0,0,1.032,3.5499045621932512
1.0,0,1,0,0,0,0,1.525,4.287157943491638
1.0,1,0,0,0,0,0,1.545,3.8718925881573627
1.0,2,0,0,0,0,2,1.262,3.571794605462732
1.0,3,0,1,0,0,24,1.07,6.213320032062936
1.0,4,0,0,0,0,11,1.209,3.11406241335562
1.0,2,0,1,0,0,6,2.089,6.8746823779181705
1.0,3,1,0,0,0,14,1.594,3.515244041897642
1.0,3,0,0,0,1,6,1.286,3.2408672839341803
1.0,1,1,0,0,0,4,1.046,3.919068816144714
1.0,1,0,1,0,0,9,1.266,7.15111491635393
1.0,2,0,0,0,0,4,1.08,3.5405061186729787
1.0,2,0,1,0,0,14,1.11,6.6525009798992
1.0,1,1,0,0,0,6,1.08,3.925458770452198
1.0,2,0,0,0,0,1,1.882,3.6769132848848165
1.0,1,1,0,0,0,3,1.16,3.9404644770328168
1.0,3,0,1,0,0,2,1.248,6.251757786333912
1.0,1,0,0,0,1,2,1.601,3.7450507252399623
1.0,2,0,0,0,0,2,1.63,3.634462863567453
