Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 80 gal	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless
CR02	Electricity	0.209785	0.534555	0.208698	0.046962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.656656	0.259049	0.084295	0.000000	0.000000	0.000000	0.000000
CR02	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458109	0.348423	0.193468
CR03	Electricity	0.207825	0.527390	0.206701	0.058083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.318978	0.088197	0.592825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.630493	0.265592	0.103915	0.000000	0.000000	0.000000	0.000000
CR03	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR03	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.501334	0.259855	0.238811
CR04	Electricity	0.224619	0.485592	0.223815	0.065974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.634172	0.287235	0.078593	0.000000	0.000000	0.000000	0.000000
CR04	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.486756	0.319961	0.193282
CR05	Electricity	0.214649	0.517231	0.213655	0.054465	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.642732	0.274261	0.083008	0.000000	0.000000	0.000000	0.000000
CR05	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.533435	0.266180	0.200384
CR06	Electricity	0.227333	0.520303	0.201104	0.051261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.678407	0.253711	0.067882	0.000000	0.000000	0.000000	0.000000
CR06	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR06	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.548836	0.296225	0.154939
CR07	Electricity	0.204117	0.531088	0.202922	0.061874	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.170013	0.176617	0.653370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.626885	0.275804	0.097311	0.000000	0.000000	0.000000	0.000000
CR07	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465624	0.320271	0.214104
CR08	Electricity	0.228410	0.495189	0.227679	0.048722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.635120	0.276867	0.088013	0.000000	0.000000	0.000000	0.000000
CR08	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.461367	0.312579	0.226054
CR09	Electricity	0.226020	0.489384	0.225243	0.059354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
