Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Crawl	Option=Heated Basement	Option=Pier and Beam	Option=Slab	Option=Unheated Basement
1A	Mobile Home	1940-59	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	1960-79	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	1980-99	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	2000-09	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	2010s	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Mobile Home	<1940	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	1940-59	0.395271	0.000000	0.000000	0.601889	0.002839
1A	Multi-Family with 2 - 4 Units	1960-79	0.113481	0.000000	0.000000	0.886519	0.000000
1A	Multi-Family with 2 - 4 Units	1980-99	0.087160	0.000000	0.000000	0.912840	0.000000
1A	Multi-Family with 2 - 4 Units	2000-09	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Multi-Family with 2 - 4 Units	2010s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Multi-Family with 2 - 4 Units	<1940	0.736819	0.000000	0.000000	0.230182	0.032999
1A	Multi-Family with 5+ Units	1940-59	0.395271	0.000000	0.000000	0.601889	0.002839
1A	Multi-Family with 5+ Units	1960-79	0.113481	0.000000	0.000000	0.886519	0.000000
1A	Multi-Family with 5+ Units	1980-99	0.087160	0.000000	0.000000	0.912840	0.000000
1A	Multi-Family with 5+ Units	2000-09	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Multi-Family with 5+ Units	2010s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Multi-Family with 5+ Units	<1940	0.736819	0.000000	0.000000	0.230182	0.032999
1A	Single-Family Attached	1940-59	0.395271	0.000000	0.000000	0.601889	0.002839
1A	Single-Family Attached	1960-79	0.113481	0.000000	0.000000	0.886519	0.000000
1A	Single-Family Attached	1980-99	0.087160	0.000000	0.000000	0.912840	0.000000
1A	Single-Family Attached	2000-09	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Single-Family Attached	2010s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Single-Family Attached	<1940	0.736819	0.000000	0.000000	0.230182	0.032999
1A	Single-Family Detached	1940-59	0.306056	0.000000	0.225706	0.466039	0.002199
1A	Single-Family Detached	1960-79	0.102545	0.000000	0.096368	0.801086	0.000000
1A	Single-Family Detached	1980-99	0.078675	0.000000	0.097352	0.823973	0.000000
1A	Single-Family Detached	2000-09	0.065036	0.000000	0.063701	0.865990	0.005273
1A	Single-Family Detached	2010s	0.065036	0.000000	0.063701	0.865990	0.005273
1A	Single-Family Detached	<1940	0.634701	0.000000	0.138593	0.198280	0.028426
2A	Mobile Home	1940-59	0.000000	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	1960-79	0.000000	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	1980-99	0.000000	0.000000	1.000000	0.000000	0.000000
2A	Mobile Home	2000-09	0.000000	0.000000	1.000000	0.000000	0.000000
