Dependency=Geometry Building Type ACS	Dependency=Vintage	Option=<5	Option=5 to 9 Units low	Option=5 to 9 Units high	Option=10 to 19 Units low	Option=10 to 19 Units high	Option=20 to 49 Units low	Option=20 to 49 Units high	Option=50 or more Units low	Option=50 or more Units high
Single-Family Detached	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50 or more Unit	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054725	0.945275
50 or more Unit	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054725	0.945275
50 or more Unit	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.291390	0.708610
50 or more Unit	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.351760	0.648240
50 or more Unit	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.303145	0.696855
50 or more Unit	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.506939	0.493061
50 or more Unit	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.657394	0.342606
50 or more Unit	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
50 or more Unit	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
5 to 9 Unit	<1940	0.000000	0.776831	0.223169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1940s	0.000000	0.776831	0.223169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1950s	0.000000	0.978652	0.021348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1960s	0.000000	0.992227	0.007773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1970s	0.000000	0.976923	0.023077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1980s	0.000000	0.979814	0.020186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	1990s	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	2000s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5 to 9 Unit	2010s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20 to 49 Unit	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.352725	0.647275	0.000000	0.000000
20 to 49 Unit	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.352725	0.647275	0.000000	0.000000
20 to 49 Unit	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.633495	0.366505	0.000000	0.000000
20 to 49 Unit	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.672947	0.327053	0.000000	0.000000
20 to 49 Unit	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.939387	0.060613	0.000000	0.000000
20 to 49 Unit	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.860544	0.139456	0.000000	0.000000
20 to 49 Unit	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.836273	0.163727	0.000000	0.000000
20 to 49 Unit	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
20 to 49 Unit	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
2 Unit	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
