occupants,cooking_range,plug_loads,refrigerator,lighting_interior,lighting_exterior,clothes_washer,clothes_dryer,dishwasher,baths,showers,sinks
1,0.046666667,0.65564912,0.610948905,0.123751072,0.123751072,0,0,0,0,0,0
1,0.046666667,0.618183456,0.595675182,0.123751072,0.123751072,0,0,0,0,0,0
1,0.026666667,0.599450624,0.58040146,0.123751072,0.123751072,0,0,0,0,0,0
1,0.026666667,0.580717792,0.565127737,0.123751072,0.123751072,0,0,0,0,0,0
1,0.046666667,0.599450624,0.549854015,0.123751072,0.123751072,0,0,0,0,0,0
1,0.073333333,0.618183456,0.549854015,0.123751072,0.123751072,0,0,0,0,0,0
1,0.166666667,0.693114784,0.58040146,0.074250643,0.074250643,0,0,0,0,0,0
0.88,0.28,0.786778944,0.610948905,0.074250643,0.074250643,0,0,0,0,0,0
0.41,0.306666667,0.805511776,0.626222628,0.074250643,0.074250643,0,0,0,0,0,0
0.24,0.32,0.805511776,0.626222628,0.074250643,0.074250643,0,0,0,0,0,0
0.24,0.28,0.805511776,0.610948905,0.074250643,0.074250643,0,0,0,0,0,0
0.24,0.333333333,0.824244608,0.610948905,0.074250643,0.074250643,0,0,0,0,0,0
0.24,0.38,0.84297744,0.64149635,0.049500429,0.049500429,0,0,0,0,0,0
0.24,0.306666667,0.84297744,0.64149635,0.049500429,0.049500429,0,0,0,0,0,0
0.24,0.38,0.824244608,0.64149635,0.049500429,0.049500429,0,0,0,0,0,0
0.24,0.293333333,0.861710272,0.626222628,0.049500429,0.049500429,0,0,0,0,0,0
0.29,0.613333333,0.899175936,0.672043796,0.049500429,0.049500429,0,0,0,0,0,0
0.55,1,0.974107263,0.733138686,0.049500429,0.049500429,0,0,0,0,0,0
0.9,0.78,0.992840095,0.763686131,0.049500429,0.049500429,0,0,0,0,0,0
0.9,0.4,0.936641599,0.733138686,0.049500429,0.049500429,0,0,0,0,0,0
0.9,0.233333333,0.880443104,0.717864964,0.049500429,0.049500429,0,0,0,0,0,0
1,0.166666667,0.84297744,0.702591241,0.049500429,0.049500429,0,0,0,0,0,0
1,0.106666667,0.74931328,0.672043796,0.049500429,0.049500429,0,0,0,0,0,0
1,0.073333333,0.674381952,0.626222628,0.049500429,0.049500429,0,0,0,0,0,0
1,0.046666667,0.65564912,0.610948905,0.055033338,0.055033338,0,0,0,0,0,0
1,0.046666667,0.618183456,0.595675182,0.055033338,0.055033338,0,0,0,0,0,0
1,0.026666667,0.599450624,0.58040146,0.055033338,0.055033338,0,0,0,0,0,0
1,0.026666667,0.580717792,0.565127737,0.055033338,0.055033338,0,0,0,0,0,0
1,0.046666667,0.599450624,0.549854015,0.055033338,0.055033338,0,0,0,0,0,0
1,0.073333333,0.618183456,0.549854015,0.055033338,0.055033338,0,0,0,0,0,0
1,0.166666667,0.693114784,0.58040146,0.151005022,0.151005022,0,0,0,0,0,0
0.88,0.28,0.786778944,0.610948905,0.151005022,0.151005022,0,0,0,0,0,0
0.41,0.306666667,0.805511776,0.626222628,0.151005022,0.151005022,0,0,0,0,0,0
0.24,0.32,0.805511776,0.626222628,0.151005022,0.151005022,0,0,0,0,0,0
0.24,0.28,0.805511776,0.610948905,0.151005022,0.151005022,0,0,0,0,0,0
0.24,0.333333333,0.824244608,0.610948905,0.151005022,0.151005022,0,0,0,0,0,0
0.24,0.38,0.84297744,0.64149635,0.354518108,0.354518108,0,0,0,0,0,0
0.24,0.306666667,0.84297744,0.64149635,0.354518108,0.354518108,0,0,0,0,0,0
0.24,0.38,0.824244608,0.64149635,0.354518108,0.354518108,0,0,0,0,0,0
0.24,0.293333333,0.861710272,0.626222628,0.354518108,0.354518108,0,0,0,0,0,0
0.29,0.613333333,0.899175936,0.672043796,0.354518108,0.354518108,0,0,0,0,0,0.0086028
0.55,1,0.974107263,0.733138686,0.354518108,0.354518108,0,0,0,0,0,0
0.9,0.78,0.992840095,0.763686131,0.448633526,0.448633526,0,0,0,0,0,0
0.9,0.4,0.936641599,0.733138686,0.448633526,0.448633526,0,0,0,0,0,0
0.9,0.233333333,0.880443104,0.717864964,0.448633526,0.448633526,0,0,0,0,0,0
1,0.166666667,0.84297744,0.702591241,0.448633526,0.448633526,0,0,0,0,0,0.0212629
1,0.106666667,0.74931328,0.672043796,0.448633526,0.448633526,0,0,0,0,0,0
1,0.073333333,0.674381952,0.626222628,0.448633526,0.448633526,0,0,0,0,0,0
1,0.046666667,0.65564912,0.610948905,0.476771435,0.476771435,0.0422513,0,0,0,0,0
1,0.046666667,0.618183456,0.595675182,0.476771435,0.476771435,0.139377,0,0,0,0,0
1,0.026666667,0.599450624,0.58040146,0.476771435,0.476771435,0,0,0,0,0,0
1,0.026666667,0.580717792,0.565127737,0.476771435,0.476771435,0,0,0,0,0,0
1,0.046666667,0.599450624,0.549854015,0.476771435,0.476771435,0,0,0,0,0,0
1,0.073333333,0.618183456,0.549854015,0.476771435,0.476771435,0,0,0,0,0,0
1,0.166666667,0.693114784,0.58040146,0.490087694,0.490087694,0,0.0422513,0,0,0,0
0.88,0.28,0.786778944,0.610948905,0.490087694,0.490087694,0,0.139377,0,0,0,0
0.41,0.306666667,0.805511776,0.626222628,0.490087694,0.490087694,0,0,0,0,0,0
0.24,0.32,0.805511776,0.626222628,0.490087694,0.490087694,0,0,0,0,0,0
0.24,0.28,0.805511776,0.610948905,0.490087694,0.490087694,0,0,0,0,0,0
0.24,0.333333333,0.824244608,0.610948905,0.490087694,0.490087694,0,0,0,0,0,0
0.24,0.38,0.84297744,0.64149635,0.476762548,0.476762548,0,0,0,0,0,0
0.24,0.306666667,0.84297744,0.64149635,0.476762548,0.476762548,0,0,0,0,0,0
0.24,0.38,0.824244608,0.64149635,0.476762548,0.476762548,0,0,0,0,0,0
0.24,0.293333333,0.861710272,0.626222628,0.476762548,0.476762548,0,0,0,0,0,0
0.29,0.613333333,0.899175936,0.672043796,0.476762548,0.476762548,0,0,0,0,0,0
