,Estimate,Std. Error,t value,Pr(>|t|)
vintage1970s,"9,668",134,71.994,0.00E+00
vintage1980s,"22,480",143,156.886,0.00E+00
vintage1990s,"28,309",137,207.231,0.00E+00
vintage2000s,"28,477",137,207.470,0.00E+00
heatingfuelFuel Oil,"22,445",254,88.476,0.00E+00
heatingfuelNatural Gas,"18,398",217,84.907,0.00E+00
rooms6,"27,678",714,38.791,0.00E+00
rooms7,"41,840",715,58.524,0.00E+00
rooms8,"57,971",717,80.837,0.00E+00
rooms9,"90,291",716,126.120,0.00E+00
vintage1960s,"5,311",141,37.716,3.08718e-311
vintage1950s,"4,161",135,30.871,3.13E-209
heatingfuelNone,"15,286",546,28.016,1.09E-172
heatingfuelElectricity,"6,158",223,27.629,5.20E-168
rooms5,"16,681",714,23.354,1.30E-120
(Intercept),"14,763",736,20.047,2.15E-89
heatingfuelPropane/LPG,"4,872",259,18.815,5.69E-79
rooms4,"9,390",724,12.975,1.70E-38
rooms1,"11,267","1,225",9.196,3.73E-20
rooms3,"3,794",781,4.860,1.17E-06
