"","Estimate","Std. Error","t value","Pr(>|t|)"
"vintage1970s",9668.32509,134.29387,71.99379,"0.00000e+00"
"vintage1980s",22480.41365,143.29129,156.88611,"0.00000e+00"
"vintage1990s",28309.32244,136.60777,207.23069,"0.00000e+00"
"vintage2000s",28476.66989,137.25687,207.46991,"0.00000e+00"
"heatingfuelFuel Oil",22445.05772,253.68467,88.47621,"0.00000e+00"
"heatingfuelNatural Gas",18397.50445,216.67921,84.90664,"0.00000e+00"
"rooms6",27678.47356,713.52129,38.79138,"0.00000e+00"
"rooms7",41840.3748,714.92712,58.52397,"0.00000e+00"
"rooms8",57971.42437,717.13831,80.83716,"0.00000e+00"
"rooms9",90291.14522,715.91612,126.11973,"0.00000e+00"
"vintage1960s",5311.12644,140.81829,37.71617,"3.08718e-311"
"vintage1950s",4160.72451,134.77888,30.87075,"3.13493e-209"
"heatingfuelNone",15285.5456,545.60548,28.01575,"1.08847e-172"
"heatingfuelElectricity",6158.3213,222.89394,27.62893,"5.19774e-168"
"rooms5",16681.31966,714.29638,23.3535,"1.29527e-120"
"(Intercept)",14763.38845,736.42505,20.04737,"2.15091e-89"
"heatingfuelPropane/LPG",4872.41344,258.95792,18.81546,"5.68870e-79"
"rooms4",9389.62013,723.67001,12.975,"1.69915e-38"
"rooms1",11266.61348,1225.2287,9.19552,"3.73371e-20"
"rooms3",3793.55396,780.52006,4.86029,"1.17219e-06"
