Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
"AL, 00100"	0.174581	0.235927	0.318395	0.117915	0.056390	0.096792	0.000000	0.000000	0.000000	3803.000000	75166.000000	0.000661
"AL, 00200"	0.165569	0.168039	0.315778	0.228074	0.062292	0.060248	0.000000	0.000000	0.000000	2618.000000	69277.000000	0.000558
"AL, 00301"	0.065558	0.141173	0.257439	0.315365	0.128409	0.092056	0.000000	0.000000	0.000000	2048.000000	50533.000000	0.000414
"AL, 00302"	0.107558	0.213591	0.282513	0.182987	0.111736	0.101614	0.000000	0.000000	0.000000	2347.000000	44075.000000	0.000371
"AL, 00400"	0.371357	0.211000	0.303025	0.049008	0.035664	0.029947	0.000000	0.000000	0.000000	2904.000000	45850.000000	0.000419
"AL, 00500"	0.242307	0.299135	0.296093	0.095367	0.023845	0.043253	0.000000	0.000000	0.000000	3901.000000	45339.000000	0.000389
"AL, 00600"	0.098375	0.232842	0.349254	0.142604	0.090386	0.086539	0.000000	0.000000	0.000000	2874.000000	58961.000000	0.000501
"AL, 00700"	0.221442	0.216079	0.340762	0.104649	0.086320	0.030748	0.000000	0.000000	0.000000	2277.000000	40536.000000	0.000380
"AL, 00800"	0.251995	0.209454	0.314629	0.101027	0.105175	0.017720	0.000000	0.000000	0.000000	2422.000000	53176.000000	0.000448
"AL, 00900"	0.176204	0.268131	0.244433	0.137422	0.090019	0.083791	0.000000	0.000000	0.000000	2077.000000	39062.000000	0.000357
"AL, 01000"	0.275374	0.253426	0.248328	0.087114	0.079911	0.055847	0.000000	0.000000	0.000000	3128.000000	62425.000000	0.000592
"AL, 01100"	0.152211	0.209738	0.335217	0.160528	0.073100	0.069205	0.000000	0.000000	0.000000	2085.000000	45099.000000	0.000400
"AL, 01200"	0.060754	0.099037	0.223943	0.306858	0.200404	0.109005	0.000000	0.000000	0.000000	3803.000000	76868.000000	0.000628
"AL, 01301"	0.094158	0.147058	0.322827	0.229973	0.102290	0.103694	0.000000	0.000000	0.000000	1849.000000	39632.000000	0.000385
"AL, 01302"	0.064920	0.142223	0.244280	0.223515	0.163443	0.161619	0.000000	0.000000	0.000000	2004.000000	43875.000000	0.000411
"AL, 01303"	0.020388	0.116014	0.246919	0.309280	0.154961	0.152439	0.000000	0.000000	0.000000	2913.000000	68711.000000	0.000569
"AL, 01304"	0.072030	0.131581	0.380331	0.255895	0.090628	0.069534	0.000000	0.000000	0.000000	2987.000000	67084.000000	0.000565
"AL, 01305"	0.202727	0.122621	0.257225	0.186047	0.135069	0.096311	0.000000	0.000000	0.000000	2018.000000	42090.000000	0.000363
"AL, 01400"	0.327058	0.269694	0.287017	0.035934	0.062552	0.017746	0.000000	0.000000	0.000000	2738.000000	47555.000000	0.000433
"AL, 01500"	0.313973	0.087113	0.188982	0.199804	0.098914	0.111214	0.000000	0.000000	0.000000	2032.000000	37527.000000	0.000321
"AL, 01600"	0.099940	0.158396	0.252156	0.235249	0.119493	0.134767	0.000000	0.000000	0.000000	1807.000000	41600.000000	0.000410
"AL, 01700"	0.210511	0.355452	0.212076	0.042980	0.086120	0.092861	0.000000	0.000000	0.000000	2644.000000	48180.000000	0.000477
"AL, 01800"	0.395090	0.178486	0.248149	0.074407	0.041421	0.062447	0.000000	0.000000	0.000000	2530.000000	51035.000000	0.000486
"AL, 01900"	0.216439	0.105715	0.202208	0.280618	0.126625	0.068395	0.000000	0.000000	0.000000	2141.000000	59001.000000	0.000493
"AL, 02000"	0.063704	0.195679	0.366462	0.173752	0.082761	0.117642	0.000000	0.000000	0.000000	3493.000000	77364.000000	0.000670
"AL, 02100"	0.121032	0.236037	0.308287	0.193685	0.128086	0.012872	0.000000	0.000000	0.000000	3069.000000	66889.000000	0.000566
"AL, 02200"	0.161334	0.308268	0.346560	0.049906	0.093780	0.040153	0.000000	0.000000	0.000000	3108.000000	51056.000000	0.000515
"AL, 02300"	0.263389	0.241632	0.372851	0.051147	0.028677	0.042304	0.000000	0.000000	0.000000	3974.000000	47313.000000	0.000437
"AL, 02400"	0.232582	0.265901	0.350227	0.079334	0.041350	0.030605	0.000000	0.000000	0.000000	3184.000000	55686.000000	0.000518
"AL, 02500"	0.225823	0.281729	0.261816	0.105907	0.063893	0.060832	0.000000	0.000000	0.000000	9485.000000	75802.000000	0.000681
"AL, 02600"	0.067448	0.204692	0.192308	0.241837	0.136773	0.156942	0.000000	0.000000	0.000000	2872.000000	76132.000000	0.000808
"AL, 02701"	0.234692	0.220708	0.191899	0.137536	0.060272	0.154894	0.000000	0.000000	0.000000	2493.000000	40046.000000	0.000383
"AL, 02702"	0.044079	0.108572	0.327047	0.271281	0.131425	0.117596	0.000000	0.000000	0.000000	2006.000000	44112.000000	0.000382
"AL, 02703"	0.097157	0.133576	0.306053	0.170973	0.120515	0.171725	0.000000	0.000000	0.000000	2775.000000	69638.000000	0.000599
"AR, 00100"	0.118436	0.210677	0.221712	0.327559	0.053153	0.068462	0.000000	0.000000	0.000000	4674.000000	90906.000000	0.000736
"AR, 00200"	0.176375	0.150569	0.176496	0.346072	0.082706	0.067782	0.000000	0.000000	0.000000	3253.000000	84460.000000	0.000676
"AR, 00300"	0.219984	0.287002	0.200454	0.161590	0.082034	0.048936	0.000000	0.000000	0.000000	3722.000000	63457.000000	0.000597
"AR, 00400"	0.250751	0.349673	0.121767	0.092897	0.130487	0.054425	0.000000	0.000000	0.000000	3381.000000	54311.000000	0.000549
"AR, 00500"	0.170123	0.317779	0.163920	0.181907	0.082075	0.084195	0.000000	0.000000	0.000000	3858.000000	73327.000000	0.000616
"AR, 00600"	0.300758	0.293595	0.240868	0.093137	0.045423	0.026219	0.000000	0.000000	0.000000	2535.000000	39581.000000	0.000348
"AR, 00700"	0.395147	0.242035	0.230682	0.083412	0.035164	0.013561	0.000000	0.000000	0.000000	2603.000000	40225.000000	0.000365
"AR, 00800"	0.246378	0.258250	0.186592	0.117151	0.119767	0.071862	0.000000	0.000000	0.000000	2628.000000	42190.000000	0.000369
"AR, 00900"	0.135765	0.167108	0.213529	0.280625	0.092846	0.110127	0.000000	0.000000	0.000000	3312.000000	79811.000000	0.000686
"AR, 01000"	0.088456	0.112456	0.243723	0.279214	0.084065	0.192086	0.000000	0.000000	0.000000	3136.000000	75624.000000	0.000675
"AR, 01100"	0.241171	0.165547	0.215244	0.259608	0.057620	0.060809	0.000000	0.000000	0.000000	3507.000000	70115.000000	0.000580
"AR, 01200"	0.139004	0.114230	0.306635	0.321776	0.039356	0.078999	0.000000	0.000000	0.000000	1829.000000	43314.000000	0.000351
"AR, 01300"	0.243610	0.333489	0.231357	0.089268	0.054814	0.047462	0.000000	0.000000	0.000000	3027.000000	52476.000000	0.000462
"AR, 01400"	0.248390	0.207612	0.186131	0.164791	0.090472	0.102603	0.000000	0.000000	0.000000	3330.000000	74173.000000	0.000619
"AR, 01500"	0.343647	0.289799	0.153116	0.153495	0.040477	0.019466	0.000000	0.000000	0.000000	2496.000000	38188.000000	0.000349
"AR, 01600"	0.126423	0.259066	0.240289	0.086516	0.126423	0.161284	0.000000	0.000000	0.000000	3183.000000	65028.000000	0.000608
"AR, 01700"	0.143180	0.128338	0.310645	0.207715	0.087722	0.122401	0.000000	0.000000	0.000000	2137.000000	38754.000000	0.000348
"AR, 01800"	0.300902	0.268031	0.211296	0.104496	0.098846	0.016430	0.000000	0.000000	0.000000	2619.000000	39724.000000	0.000370
"AR, 01900"	0.134998	0.294979	0.352515	0.106230	0.059551	0.051727	0.000000	0.000000	0.000000	2271.000000	40746.000000	0.000387
"AR, 02000"	0.260224	0.186988	0.238410	0.199065	0.080250	0.035062	0.000000	0.000000	0.000000	2461.000000	40874.000000	0.000381
"AZ, 00100"	0.000000	0.053221	0.137904	0.355475	0.167307	0.286093	0.000000	0.000000	0.000000	2078.000000	42974.000000	0.000332
"AZ, 00101"	0.027943	0.172587	0.209922	0.259483	0.148305	0.181760	0.000000	0.000000	0.000000	3344.000000	59633.000000	0.000549
"AZ, 00102"	0.076744	0.279767	0.165166	0.229269	0.119135	0.129919	0.000000	0.000000	0.000000	2914.000000	51202.000000	0.000431
"AZ, 00103"	0.054752	0.172822	0.194604	0.284208	0.122623	0.170991	0.000000	0.000000	0.000000	2159.000000	41279.000000	0.000343
"AZ, 00104"	0.024617	0.175233	0.254517	0.265841	0.100161	0.179630	0.000000	0.000000	0.000000	2225.000000	43021.000000	0.000404
"AZ, 00105"	0.025852	0.142275	0.228372	0.285831	0.091861	0.225810	0.000000	0.000000	0.000000	2792.000000	45426.000000	0.000358
