Bedrooms,Unit,Showers Max,Sinks Max,ClothesWasher Max,Dishwasher Max,Baths Max,Showers Sum,Sinks Sum,ClothesWasher Sum,Dishwasher Sum,Baths Sum,On-time Fraction
1,0,4.816,3.317,4.954,2.532,7.209,19.10272055,16.97978904,3.167147945,2.919131507,4.312553425,0.027461948
1,1,4.272,3.329,5.361,2.668,7.427,18.18804384,16.52929863,3.054208219,2.9458,4.566756164,0.026678082
1,2,4.154,3.335,5.654,3.042,8.834,18.56350959,16.68882466,3.283676712,2.911032877,4.650906849,0.02700723
1,3,4.185,3.333,4.601,2.796,8.465,18.19348219,16.32663288,2.999682192,3.093523288,4.831567123,0.026659056
1,4,4.54,3.344,4.633,2.595,6.911,18.24752877,16.53090959,3.285879452,2.993238356,4.82990411,0.027037671
1,5,4.08,3.252,5.028,2.668,6.894,18.59767123,16.21803562,3.297884932,2.980027397,4.59610137,0.026447869
1,6,4.06,3.328,5.17,2.615,7.284,17.75224384,16.55153699,2.83569863,2.954630137,4.19980274,0.026542998
1,7,4.237,3.341,5.753,2.622,6.954,18.75552329,16.43119178,2.901936986,3.117156164,4.690372603,0.026902588
1,8,4.248,3.332,4.573,2.85,6.623,19.12095342,16.2500274,3.011813699,2.863638356,4.641810959,0.026893075
1,9,4.488,3.26,5.69,2.735,8.328,18.42353151,16.65828219,3.096794521,3.008693151,4.540356164,0.026925419
2,0,4.305,3.334,5.081,2.552,9.818,23.48558904,19.82889589,3.820471233,3.641876712,5.531983562,0.032711187
2,1,4.461,3.271,5.151,2.824,7.371,23.53578904,20.24424932,4.004756164,3.870558904,5.556449315,0.033365677
2,2,4.19,3.317,4.615,2.756,7.367,22.70495068,20.79043014,3.643276712,3.692583562,5.825323288,0.033297184
2,3,4.48,3.304,4.697,2.819,7.845,23.65729863,20.64374521,3.960920548,3.740961644,5.283531507,0.033645358
2,4,4.665,3.344,5.325,2.75,6.65,22.81405205,20.88083288,3.808624658,3.906380822,5.94980274,0.033348554
2,5,4.372,3.318,4.594,2.548,9.132,21.66637808,20.70548767,3.600780822,3.85789589,5.43490411,0.033411339
2,6,4.635,3.343,4.747,2.742,7.344,23.67269315,20.75488767,3.892463014,3.868413699,5.829909589,0.0339707
2,7,4.525,3.345,5.284,2.787,7.163,24.20886301,20.5768274,4.050528767,3.851021918,5.611936986,0.033734779
2,8,4.189,3.304,5.442,2.579,6.435,23.63957808,19.76232329,3.903386301,3.664235616,5.294978082,0.03260274
2,9,4.347,3.326,4.925,2.582,8.276,22.29506027,20.81769863,3.84790137,3.649893151,5.947136986,0.033365677
3,0,4.486,3.326,4.911,2.57,7.572,27.85892603,24.85532603,4.599509589,4.503175342,6.850673973,0.03968417
3,1,4.309,3.323,5.209,2.779,7.43,27.61693699,23.7210411,4.822005479,4.402717808,6.826594521,0.039347412
3,2,4.222,3.345,5.923,2.63,8.545,27.30315616,24.31112055,4.432663014,4.600323288,6.485435616,0.039368341
3,3,4.302,3.278,5.121,2.518,7.396,28.27397534,24.29216986,4.582608219,4.492383562,7.01970411,0.039908676
